id,name,max_guests,max_stay,review_count,per_night,cleaning,service
1,Isabel Bosco DVM,12,22,92,138,0,91
2,Mr. Karla Block,2,31,164,311,0,93
3,Jody Hintz,15,5,44,128,54,44
4,Hilda Nader,3,26,349,254,0,97
5,Isabel Corwin,7,24,450,250,0,43
6,Fred Schowalter,2,3,158,501,32,93
7,Dr. Susie Upton,2,2,484,297,0,90
8,Garrett Homenick,8,8,46,798,0,30
9,Kristie Bogan,3,25,45,793,97,70
10,Frances Gusikowski,14,16,137,586,0,36
11,Lamar Huels,1,17,468,285,0,99
12,Julie Jacobi,8,8,118,553,82,34
13,Rufus Jakubowski,3,23,340,783,0,48
14,Hubert Armstrong,9,4,366,637,0,91
15,Bridget Swift,10,27,243,149,76,72
16,Mr. Erma Howe,6,3,164,194,0,90
17,Gilberto Hagenes,11,7,190,595,0,91
18,Beth Gutkowski,7,23,86,441,62,96
19,Vicki Dooley,15,31,155,112,0,63
20,Mr. Regina King,6,7,376,728,0,51
21,Theresa Powlowski,2,3,97,662,21,27
22,Mae Paucek DDS,1,11,131,672,0,71
23,Darin Hettinger,9,8,18,431,0,63
24,Jenna Cummings,15,9,338,682,31,96
25,Miss Emma Mante,8,10,492,656,0,59
26,Martin Kulas,15,7,312,58,0,68
27,Tim Swift,7,4,374,462,74,92
28,Herman Bernier,4,25,405,228,0,95
29,Marian Miller,13,8,169,432,0,43
30,Carlton White,14,21,50,759,75,40
31,Angie McLaughlin,15,21,65,467,0,75
32,Jacqueline Collier,9,12,243,680,0,48
33,Shane Raynor,14,27,350,192,87,76
34,Ethel Reichel,5,14,116,552,0,44
35,Alice Streich,7,6,334,669,0,52
36,Cassandra Wolf,16,13,77,235,13,31
37,Miss Morris Blick,12,15,492,59,0,64
38,Lynne Ritchie,12,14,379,528,0,85
39,Marianne Kozey,4,3,308,573,40,86
40,Anthony Grant,5,17,228,715,0,96
41,Henry Feeney,16,6,134,111,0,61
42,Ruby Kreiger,15,6,407,709,98,27
43,Milton Lind,4,20,26,640,0,25
44,Brent Gaylord,5,2,258,541,0,27
45,Jeff West,1,16,255,643,70,98
46,Joseph Streich,15,5,409,163,0,33
47,Mr. Rosemarie Renner,6,20,485,119,0,92
48,Heather Schmidt Jr.,7,8,422,61,65,62
49,Cecelia Bergstrom,4,15,214,161,0,98
50,Tom Abernathy,10,7,206,469,0,79
51,Victor Stamm,2,23,84,510,26,67
52,Ivan Altenwerth MD,4,18,63,228,0,28
53,Jimmy Schulist,16,3,204,610,0,26
54,Beatrice Strosin II,2,21,288,221,43,33
55,Shaun Cremin,16,15,364,91,0,46
56,Jill Funk,9,31,437,792,0,67
